[40038.0, 3714.35707, 'N', 12646.39323, 'E', 'A']
[40039.0, 3714.35761, 'N', 12646.39351, 'E', 'A']
[40040.0, 3714.35811, 'N', 12646.39378, 'E', 'A']
[40041.0, 3714.35859, 'N', 12646.39404, 'E', 'A']
[40042.0, 3714.3591, 'N', 12646.39436, 'E', 'A']
[40043.0, 3714.35965, 'N', 12646.39465, 'E', 'A']
[40044.0, 3714.36018, 'N', 12646.39495, 'E', 'A']
[40045.0, 3714.36069, 'N', 12646.39523, 'E', 'A']
[40046.0, 3714.36116, 'N', 12646.3955, 'E', 'A']
[40047.0, 3714.36165, 'N', 12646.39578, 'E', 'A']
[40048.0, 3714.36217, 'N', 12646.39612, 'E', 'A']
[40049.0, 3714.36266, 'N', 12646.39644, 'E', 'A']
[40050.0, 3714.36318, 'N', 12646.39675, 'E', 'A']
[40051.0, 3714.36374, 'N', 12646.39706, 'E', 'A']
[40052.0, 3714.3643, 'N', 12646.39738, 'E', 'A']
[40053.0, 3714.36484, 'N', 12646.39774, 'E', 'A']
[40054.0, 3714.36536, 'N', 12646.39809, 'E', 'A']
[40055.0, 3714.36593, 'N', 12646.39842, 'E', 'A']
[40056.0, 3714.36648, 'N', 12646.39874, 'E', 'A']
[40057.0, 3714.36701, 'N', 12646.39909, 'E', 'A']
[40058.0, 3714.3675, 'N', 12646.39944, 'E', 'A']
[40059.0, 3714.36801, 'N', 12646.39978, 'E', 'A']
[40100.0, 3714.36857, 'N', 12646.40016, 'E', 'A']
[40101.0, 3714.36912, 'N', 12646.4005, 'E', 'A']
[40102.0, 3714.36966, 'N', 12646.40084, 'E', 'A']
[40103.0, 3714.37024, 'N', 12646.40116, 'E', 'A']
[40104.0, 3714.37079, 'N', 12646.40146, 'E', 'A']
[40105.0, 3714.37135, 'N', 12646.40178, 'E', 'A']
[40106.0, 3714.37189, 'N', 12646.40214, 'E', 'A']
[40107.0, 3714.37243, 'N', 12646.40252, 'E', 'A']
[40108.0, 3714.37296, 'N', 12646.40284, 'E', 'A']
[40109.0, 3714.37351, 'N', 12646.4032, 'E', 'A']
[40110.0, 3714.37407, 'N', 12646.4036, 'E', 'A']
[40111.0, 3714.37464, 'N', 12646.404, 'E', 'A']
[40112.0, 3714.37518, 'N', 12646.40442, 'E', 'A']
[40113.0, 3714.37575, 'N', 12646.40479, 'E', 'A']
[40114.0, 3714.37627, 'N', 12646.40513, 'E', 'A']
[40115.0, 3714.37688, 'N', 12646.4055, 'E', 'A']
[40116.0, 3714.37751, 'N', 12646.40586, 'E', 'A']
[40117.0, 3714.37813, 'N', 12646.40624, 'E', 'A']
[40118.0, 3714.37879, 'N', 12646.40658, 'E', 'A']
[40119.0, 3714.37946, 'N', 12646.40684, 'E', 'A']
[40120.0, 3714.38016, 'N', 12646.40708, 'E', 'A']
[40121.0, 3714.38084, 'N', 12646.40729, 'E', 'A']
[40122.0, 3714.38152, 'N', 12646.40736, 'E', 'A']
[40123.0, 3714.38223, 'N', 12646.40733, 'E', 'A']
[40124.0, 3714.38292, 'N', 12646.4073, 'E', 'A']
[40125.0, 3714.38356, 'N', 12646.40729, 'E', 'A']
[40126.0, 3714.38419, 'N', 12646.40721, 'E', 'A']
[40127.0, 3714.38481, 'N', 12646.40698, 'E', 'A']
[40128.0, 3714.38538, 'N', 12646.40664, 'E', 'A']
[40129.0, 3714.38601, 'N', 12646.40623, 'E', 'A']
