[40853.0, 3714.35502, 'N', 12646.38967, 'E', 'A']
[40854.0, 3714.35503, 'N', 12646.38971, 'E', 'A']
[40855.0, 3714.35502, 'N', 12646.38978, 'E', 'A']
[40856.0, 3714.35495, 'N', 12646.38987, 'E', 'A']
[40857.0, 3714.35489, 'N', 12646.38996, 'E', 'A']
[40858.0, 3714.35487, 'N', 12646.39003, 'E', 'A']
[40859.0, 3714.35479, 'N', 12646.39019, 'E', 'A']
[40900.0, 3714.35493, 'N', 12646.39045, 'E', 'A']
[40901.0, 3714.35523, 'N', 12646.3907, 'E', 'A']
[40902.0, 3714.35567, 'N', 12646.39104, 'E', 'A']
[40903.0, 3714.35624, 'N', 12646.3914, 'E', 'A']
[40904.0, 3714.35679, 'N', 12646.3918, 'E', 'A']
[40905.0, 3714.35742, 'N', 12646.39208, 'E', 'A']
[40906.0, 3714.35804, 'N', 12646.39239, 'E', 'A']
[40907.0, 3714.35865, 'N', 12646.39276, 'E', 'A']
[40908.0, 3714.35921, 'N', 12646.39312, 'E', 'A']
[40909.0, 3714.35981, 'N', 12646.39344, 'E', 'A']
[40910.0, 3714.36039, 'N', 12646.3939, 'E', 'A']
[40911.0, 3714.36097, 'N', 12646.3942, 'E', 'A']
[40912.0, 3714.36154, 'N', 12646.39459, 'E', 'A']
[40913.0, 3714.36212, 'N', 12646.39498, 'E', 'A']
[40914.0, 3714.36268, 'N', 12646.39549, 'E', 'A']
[40915.0, 3714.36326, 'N', 12646.39589, 'E', 'A']
[40916.0, 3714.36377, 'N', 12646.39625, 'E', 'A']
[40917.0, 3714.36431, 'N', 12646.39666, 'E', 'A']
[40918.0, 3714.3649, 'N', 12646.39708, 'E', 'A']
[40919.0, 3714.36549, 'N', 12646.39753, 'E', 'A']
[40920.0, 3714.36602, 'N', 12646.39797, 'E', 'A']
[40921.0, 3714.3666, 'N', 12646.39837, 'E', 'A']
[40922.0, 3714.36715, 'N', 12646.39875, 'E', 'A']
[40923.0, 3714.36773, 'N', 12646.39912, 'E', 'A']
[40924.0, 3714.3683, 'N', 12646.3995, 'E', 'A']
[40925.0, 3714.36888, 'N', 12646.39988, 'E', 'A']
[40926.0, 3714.36947, 'N', 12646.40029, 'E', 'A']
[40927.0, 3714.37004, 'N', 12646.40076, 'E', 'A']
[40928.0, 3714.37057, 'N', 12646.40114, 'E', 'A']
[40929.0, 3714.37116, 'N', 12646.40151, 'E', 'A']
[40930.0, 3714.3718, 'N', 12646.40187, 'E', 'A']
